id,teamId,league,notes,displayName,abbrName,cityName,conferenceName,defScheme,divName,injuryCount,logoId,nickName,offScheme,ovrRating,primaryColor,secondaryColor,userName,awayLosses,awayTies,awayWins,calendarYear,conferenceId,confLosses,confTies,confWins,capRoom,capAvailable,capSpent,defPassYds,defPassYdsRank,defRushYds,defRushYdsRank,defTotalYds,defTotalYdsRank,divisionId,divLosses,divisionName,divTies,divWins,homeLosses,homeTies,homeWins,netPts,offPassYds,offPassYdsRank,offRushYds,offRushYdsRank,offTotalYds,offTotalYdsRank,ptsAgainstRank,ptsForRank,playoffStatus,prevRank,ptsAgainst,ptsFor,rank,seed,seasonIndex,stageIndex,totalLosses,totalTies,totalWins,teamName,teamOvr,tODiff,weekIndex,winLossStreak,winPct,trade_block_comments,logo,banner,footer_banner
1513544,775553024,Premier Football Circuit Slow Sim,,49ers,SF,San Francisco,NFC,19,NFC West,0,14,Niners,2,84,11141120,11506269,VGKREBELS702,1,0,2,2025,767557632,2,0,2,279200000,48170000,231030000,1267,25,416,3,1683,12,770703367,2,NFC West,0,1,1,0,1,3,1094,15,617,13,1711,19,20,10,1,0,23,24,13,6,0,1,2,0,3,49ers,84,-1,5,2,0.60,,,,
1513535,775553025,Premier Football Circuit Slow Sim,,Bears,CHI,Chicago,NFC,11,NFC North,0,0,Bears,10,82,726570,15089920,Chefmckinney92,1,0,1,2025,767557632,2,0,1,279200000,16110000,263090000,1084,14,371,1,1455,3,770703365,1,NFC North,0,1,2,0,0,-11,838,30,391,30,1229,31,8,29,0,0,20,17,27,13,0,1,3,0,1,Bears,82,1,5,254,0.25,,,,
1513518,775553026,Premier Football Circuit Slow Sim,,Bengals,CIN,Cincinnati,AFC,13,AFC North,0,1,Bengals,2,82,16469780,0,COACHCHRIS1974,1,0,2,2025,766115840,1,0,2,279200000,25590000,253610000,1355,31,531,11,1886,23,770703361,1,AFC North,0,0,1,0,1,-2,1582,2,491,26,2073,4,23,9,0,0,24,24,9,8,0,1,2,0,3,Bengals,82,-2,5,255,0.60,,,,
1513527,775553027,Premier Football Circuit Slow Sim,,Bills,BUF,Buffalo,AFC,12,AFC East,0,2,Bills,3,85,798338,13961738,BARTLEBEE,1,0,1,2025,766115840,0,1,3,279200000,12390000,266810000,908,4,701,22,1609,10,770703360,0,AFC East,1,2,1,1,2,17,1445,3,556,19,2001,7,2,23,1,0,17,20,16,4,0,1,2,1,3,Bills,85,-4,5,255,0.58,,,,
1513529,775553028,Premier Football Circuit Slow Sim,,Broncos,DEN,Denver,AFC,18,AFC West,0,3,Broncos,0,84,664387,16534530,BigDaddyLunar,3,0,1,2025,766115840,3,0,2,279200000,30850000,248350000,1001,10,960,31,1961,27,770703363,1,AFC West,0,0,1,0,1,-34,1005,21,721,9,1726,17,28,22,0,0,26,20,25,14,0,1,4,0,2,Broncos,84,2,5,1,0.33,,,,
1513519,775553029,Premier Football Circuit Slow Sim,,Browns,CLE,Cleveland,AFC,14,AFC North,0,4,Browns,6,82,16727040,3218688,WilbuhGang420,2,0,0,2025,766115840,1,0,1,279200000,4294347296,279820000,922,6,616,16,1538,6,770703361,1,AFC North,0,1,1,0,2,0,936,27,608,14,1544,26,3,28,0,0,17,17,21,12,0,1,3,0,2,Browns,82,-1,5,254,0.40,,,,
1513539,775553030,Premier Football Circuit Slow Sim,,Buccaneers,TB,Tampa Bay,NFC,17,NFC South,0,5,Bucs,0,85,10685741,4078133,ResinBomb,2,0,1,2025,767557632,3,0,0,279200000,37540000,241660000,1150,18,910,30,2060,29,770703366,1,NFC South,0,0,1,0,1,-10,1335,5,634,12,1969,8,31,6,0,0,31,29,22,10,0,1,3,0,2,Buccaneers,85,1,5,254,0.40,,,,
1513547,775553031,Premier Football Circuit Slow Sim,,Cardinals,ARI,Arizona,NFC,13,NFC West,0,6,Cardinals,0,82,8847399,16777215,ShadeShadow99,0,0,2,2025,767557632,0,0,4,279200000,43810000,235390000,1125,16,506,5,1631,11,770703367,0,NFC West,0,2,0,0,3,100,1185,11,830,7,2015,6,1,1,1,0,13,33,3,2,0,1,0,0,5,Cardinals,82,10,5,5,1.00,,,,
1513530,775553034,Premier Football Circuit Slow Sim,,Chargers,LAC,Los Angeles,AFC,14,AFC West,0,7,Bolts,1,83,32966,16761358,knich3,1,0,2,2025,766115840,1,0,3,279200000,33760000,245440000,1050,12,795,26,1845,21,770703363,1,AFC West,0,2,0,0,3,38,1229,9,829,8,2058,5,9,7,1,0,20,26,2,1,0,1,1,0,5,Chargers,83,0,5,4,0.83,,,,
1513531,775553035,Premier Football Circuit Slow Sim,,Chiefs,KC,Kansas City,AFC,11,AFC West,0,8,Chiefs,5,87,14882871,15641886,IIdMaNII,2,0,1,2025,766115840,2,0,1,279200000,7130000,272070000,972,7,618,17,1590,9,770703363,1,AFC West,0,0,1,0,1,7,1208,10,423,29,1631,22,21,8,0,0,23,24,20,11,0,1,3,0,2,Chiefs,87,1,5,255,0.40,,,,
1513523,775553036,Premier Football Circuit Slow Sim,,Colts,IND,Indianapolis,AFC,11,AFC South,0,9,Colts,1,85,78697,16777215,CodSnips4dayz,0,0,2,2025,766115840,1,0,3,279200000,23030000,256170000,917,5,647,20,1564,7,770703362,0,AFC South,0,1,1,0,2,65,1243,7,663,11,1906,11,5,4,1,0,18,31,4,2,0,1,1,0,4,Colts,85,3,5,255,0.80,,,,
1513543,775553037,Premier Football Circuit Slow Sim,,Commanders,WAS,Washington,NFC,12,NFC East,0,25,Commanders,2,83,5903380,16758290,mossbornhydra,3,0,0,2025,767557632,3,0,0,279200000,21430000,257770000,1277,26,697,21,1974,28,770703364,1,NFC East,0,0,1,0,1,-60,1031,19,591,16,1622,23,32,26,0,0,31,19,29,15,0,1,4,0,1,Commanders,83,-3,5,254,0.20,,,,
1513540,775553038,Premier Football Circuit Slow Sim,,Cowboys,DAL,Dallas,NFC,12,NFC East,0,10,Cowboys,0,83,798338,11581372,TeddyBrosevelt21,1,0,2,2025,767557632,2,0,2,279200000,51630000,227570000,1132,17,809,27,1941,25,770703364,2,NFC East,0,0,1,0,1,-12,1235,8,487,27,1722,18,22,20,1,0,23,21,14,7,0,1,2,0,3,Cowboys,83,3,5,3,0.60,,,,
1513524,775553039,Premier Football Circuit Slow Sim,,Dolphins,MIA,Miami,AFC,11,AFC East,0,11,Phins,2,81,36503,16534530,VadaUK,1,1,1,2025,766115840,3,1,1,279200000,130000,279070000,1200,21,747,23,1947,26,770703360,1,AFC East,1,1,2,0,1,6,729,32,1088,2,1817,12,10,19,0,0,20,21,18,10,0,1,3,1,2,Dolphins,81,4,5,255,0.42,,,,
1513541,775553040,Premier Football Circuit Slow Sim,,Eagles,PHI,Philadelphia,NFC,19,NFC East,0,12,Eagles,10,87,18513,10660525,YorFriendMarcus,0,0,3,2025,767557632,0,0,4,279200000,15880000,263320000,1282,27,634,19,1916,24,770703364,0,NFC East,0,2,0,0,3,85,1143,14,1059,3,2202,2,4,3,1,0,17,31,1,1,0,1,0,0,6,Eagles,87,4,5,6,1.00,,,,
1513536,775553041,Premier Football Circuit Slow Sim,,Falcons,ATL,Atlanta,NFC,13,NFC South,0,13,Falcons,0,82,10685741,0,ScringusKhan,2,0,0,2025,767557632,2,0,2,279200000,3730000,275470000,1317,28,396,2,1713,13,770703366,1,NFC South,0,1,0,0,3,2,873,29,891,5,1764,15,12,16,1,0,21,22,12,4,0,1,2,0,3,Falcons,82,5,5,2,0.60,,,,
1513542,775553043,Premier Football Circuit Slow Sim,,Giants,NYG,New York,NFC,11,NFC East,0,15,G-Men,2,81,74578,10685741,rainyDay0_0,1,0,2,2025,767557632,2,0,2,279200000,19120000,260080000,1083,13,766,24,1849,22,770703364,1,NFC East,0,2,3,0,0,-54,1155,13,514,24,1669,20,24,31,0,0,24,15,24,12,0,1,4,0,2,Giants,81,0,5,252,0.33,,,,
1513520,775553045,Premier Football Circuit Slow Sim,,Jaguars,JAX,Jacksonville,AFC,12,AFC South,0,16,Jags,0,81,25974,0,PokemonX9322,2,0,0,2025,766115840,1,0,2,279200000,28850000,250350000,1250,24,521,9,1771,19,770703362,0,AFC South,0,1,0,0,3,-15,1012,20,520,22,1532,29,15,25,1,0,22,19,11,6,0,1,2,0,3,Jaguars,81,-5,5,1,0.60,,,,
1513525,775553046,Premier Football Circuit Slow Sim,,Jets,NYJ,New York,AFC,19,AFC East,0,17,Jets,0,81,1136448,16777215,Chrisduke890,2,0,0,2025,766115840,3,0,1,279200000,33250000,245950000,1341,30,875,29,2216,32,770703360,2,AFC East,0,0,3,0,1,-48,1001,24,1178,1,2179,3,30,15,0,0,30,22,31,15,0,1,5,0,1,Jets,81,-8,5,251,0.17,,,,
1513532,775553047,Premier Football Circuit Slow Sim,,Lions,DET,Detroit,NFC,13,NFC North,0,18,Lions,0,86,30390,11581372,Strxnge ISO,1,0,2,2025,767557632,1,0,1,279200000,44920000,234280000,1229,22,506,6,1735,14,770703365,1,NFC North,0,1,1,0,1,5,1435,4,368,31,1803,14,6,24,0,0,18,19,15,8,0,1,2,0,3,Lions,86,-1,5,2,0.60,,,,
1513533,775553049,Premier Football Circuit Slow Sim,,Packers,GB,Green Bay,NFC,13,NFC North,0,19,Pack,0,86,1846565,15641886,TonelessS2E1,2,0,0,2025,767557632,2,0,1,279200000,46610000,232590000,681,1,523,10,1204,1,770703365,1,NFC North,0,0,1,0,1,7,906,28,453,28,1359,30,7,21,0,0,18,20,28,14,0,1,3,0,1,Packers,86,-3,5,254,0.25,,,,
1513537,775553050,Premier Football Circuit Slow Sim,,Panthers,CAR,Carolina,NFC,11,NFC South,0,20,Panthers,10,79,34255,11711675,Keegan_Cwater,2,0,1,2025,767557632,1,0,1,279200000,49010000,230190000,990,9,791,25,1781,20,770703366,0,NFC South,0,1,1,0,1,-34,1042,18,491,25,1533,28,16,30,0,0,22,15,19,9,0,1,3,0,2,Panthers,79,3,5,255,0.40,,,,
