team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
49ers,SF,14,,REDGE,553388898,Mykel Williams,0,0,10782,98,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
49ers,SF,14,,WILL,553387660,Nick Martin,0,0,10647,45,1,0.00,0,1,0,0,0,0,0.00,0,0,0.00
49ers,SF,14,,CB,553386974,Renardo Green,1,0,10090,0,1,4.00,0,1,0,0,0,0,0.00,0,0,4.00
49ers,SF,14,,MIKE,553386195,Tatum Bethune,1,0,10013,48,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,WILL,553388944,Dee Winters,2,0,2484,53,1,3.00,0,3,0,0,0,0,0.00,0,0,3.00
49ers,SF,14,,SS,553386316,Ji'Ayir Brown,2,0,1874,27,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
49ers,SF,14,,SAM,553388479,Baylon Spector,3,0,1953,49,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
49ers,SF,14,,CB,553387395,Jack Jones,3,0,1788,37,1,2.00,0,2,0,0,0,0,0.00,0,0,2.00
49ers,SF,14,,CB,553387562,Deommodore Lenoir,4,0,1205,2,1,5.00,0,0,0,0,0,0,0.00,0,0,5.00
49ers,SF,14,,REDGE,553387209,Bryce Huff,5,0,1453,47,1,2.00,0,1,0,0,0,0,0.50,0,0,1.00
49ers,SF,14,,LEDGE,553386243,Nick Bosa,6,0,9390,97,1,5.00,0,0,0,0,0,0,1.50,0,0,2.00
49ers,SF,14,,MIKE,553388792,Fred Warner,7,0,9101,54,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
49ers,SF,14,,FS,553388396,Justin Simmons,9,0,8214,30,1,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Bengals,CIN,1,,SAM,553386413,Barrett Carter,0,0,10517,49,1,3.00,0,0,0,0,0,0,0.00,0,0,3.00
Bengals,CIN,1,,WILL,553387488,Demetrius Knight Jr.,0,0,10627,44,1,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Bengals,CIN,1,,LEDGE,553388507,Shemar Stewart,0,0,10742,97,1,3.00,0,0,0,0,0,0,1.00,0,0,1.00
Bengals,CIN,1,,SS,553386067,Daijahn Anthony,1,0,10000,33,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,CB,553387926,Josh Newton,1,0,10194,28,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,CB,553388703,DJ Turner II,2,0,2438,20,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,SS,553386157,Jordan Battle,2,0,1298,27,1,0.00,0,1,0,0,0,0,0.00,0,0,0.00
Bengals,CIN,1,,CB,553388589,Cam Taylor-Britt,3,0,1964,29,1,1.00,0,2,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,CB,553387145,Dax Hill,3,0,1766,23,1,3.00,0,1,0,0,0,0,0.00,0,0,3.00
Bengals,CIN,1,,FS,553388522,Geno Stone,5,0,590,22,1,1.00,0,2,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,MIKE,553388924,Logan Wilson,5,0,675,55,1,7.00,0,0,0,0,0,0,0.00,0,0,7.00
Bengals,CIN,1,,DT,553387143,B.J. Hill,7,0,8923,92,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,WILL,553386356,Oren Burks,7,0,8829,42,1,4.00,0,1,0,0,0,0,0.00,0,0,4.00
Bengals,CIN,1,,REDGE,553387111,Trey Hendrickson,8,0,8581,91,1,3.00,0,0,0,0,0,0,1.00,0,0,1.00
Bills,BUF,2,,SS,553387026,Jordan Hancock,0,0,10573,37,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
