team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,defTotalCatchAllowed,defTotalDeflections,defTotalForcedFum,defTotalFumRec,defTotalInts,defTotalIntReturnYds,defTotalSacks,defTotalSafeties,defTotalTDs,defTotalTackles
Bengals,CIN,1,,WILL,553387488,Demetrius Knight Jr.,0,0,10627,44,1,5.00,0,0,0,0,0,0,1.00,0,0,3.00
Bengals,CIN,1,,LEDGE,553388507,Shemar Stewart,0,0,10742,97,1,3.00,0,0,0,0,0,0,1.00,0,0,1.00
Bengals,CIN,1,,SS,553386067,Daijahn Anthony,1,0,10000,33,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,CB,553388703,DJ Turner II,2,0,2438,20,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,SS,553386157,Jordan Battle,2,0,1298,27,1,5.00,0,0,0,0,0,0,0.00,0,0,5.00
Bengals,CIN,1,,CB,553388589,Cam Taylor-Britt,3,0,1964,29,1,3.00,0,1,0,0,0,0,0.00,0,0,3.00
Bengals,CIN,1,,CB,553387145,Dax Hill,3,0,1766,23,1,9.00,0,1,0,0,1,10,0.00,0,0,6.00
Bengals,CIN,1,,FS,553388522,Geno Stone,5,0,590,22,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,MIKE,553388924,Logan Wilson,5,0,675,55,1,3.00,0,0,0,0,0,0,0.00,0,0,3.00
Bengals,CIN,1,,DT,553387143,B.J. Hill,7,0,8923,92,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,WILL,553386356,Oren Burks,7,0,8829,42,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bengals,CIN,1,,REDGE,553387111,Trey Hendrickson,8,0,8581,91,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,SS,553387026,Jordan Hancock,0,0,10573,37,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,CB,553386999,Maxwell Hairston,0,0,10570,31,1,7.00,0,1,0,0,0,0,1.00,0,0,5.00
Bills,BUF,2,,FS,553386201,Cole Bishop,1,0,10015,24,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Bills,BUF,2,,WILL,553388878,Dorian Williams,2,0,2477,42,1,12.00,0,0,0,0,0,0,1.00,0,0,10.00
Bills,BUF,2,,CB,553386182,Christian Benford,3,0,2684,47,1,6.00,0,0,0,0,0,0,1.00,0,0,4.00
Bills,BUF,2,,MIKE,553386191,Terrel Bernard,3,0,1173,8,1,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Bills,BUF,2,,LEDGE,553388286,Greg Rousseau,4,0,928,50,1,7.00,0,0,0,0,0,0,2.00,0,0,3.00
Bills,BUF,2,,DT,553387993,Ed Oliver,6,0,9589,91,1,8.00,0,0,0,0,0,0,2.00,0,0,4.00
Bills,BUF,2,,SS,553388168,Taylor Rapp,6,0,9606,9,1,3.00,0,0,1,0,0,0,0.00,0,0,0.00
Bills,BUF,2,,CB,553387358,Taron Johnson,7,0,8949,7,1,4.00,0,1,0,0,0,0,0.00,0,0,4.00
Bills,BUF,2,,MIKE,553386549,Zach Cunningham,8,0,8519,48,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Bills,BUF,2,,REDGE,553386242,Joey Bosa,9,0,7902,97,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Broncos,DEN,3,,CB,553386138,Jahdae Barron,0,0,10485,23,1,5.00,0,2,0,0,1,1,0.00,0,0,2.00
Broncos,DEN,3,,DT,553387411,Sai'vion Jones,0,0,10616,95,1,5.00,0,0,0,1,0,0,1.00,0,0,3.00
Broncos,DEN,3,,MIKE,553388318,Drew Sanders,2,0,2382,41,1,9.00,0,0,1,0,0,0,1.00,0,0,4.00
Broncos,DEN,3,,CB,553387866,Riley Moss,2,0,2330,21,1,4.00,0,0,1,0,0,0,0.00,0,0,1.00
Broncos,DEN,3,,REDGE,553386229,Nik Bonitto,3,0,1181,15,1,5.00,0,0,0,0,0,0,1.00,0,0,3.00
Broncos,DEN,3,,FS,553387463,Devon Key,4,0,10408,26,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Broncos,DEN,3,,LEDGE,553386513,Jonathon Cooper,4,0,910,0,1,4.00,0,0,0,0,0,0,1.00,0,0,2.00
Broncos,DEN,3,,CB,553388549,Patrick Surtain II,4,0,1301,2,1,11.00,0,1,0,1,1,29,0.00,0,1,2.00
Broncos,DEN,3,,SS,553387208,Talanoa Hufanga,4,0,1164,9,1,4.00,0,0,0,0,0,0,0.00,0,0,4.00
Broncos,DEN,3,,FS,553387379,Brandon Jones,5,0,404,22,1,3.00,0,0,0,0,0,0,0.00,0,0,3.00
Broncos,DEN,3,,MIKE,553386977,Dre Greenlaw,6,0,9480,57,1,5.00,0,0,0,0,0,0,0.00,0,0,5.00
Broncos,DEN,3,,DT,553386038,Zach Allen,6,0,9366,99,1,6.00,0,0,0,0,0,0,2.00,0,0,2.00
Broncos,DEN,3,,WILL,553388405,Alex Singleton,7,0,573,49,1,2.00,0,1,0,0,0,0,0.00,0,0,2.00
Broncos,DEN,3,,DT,553386849,John Franklin-Myers,7,0,8892,98,1,3.00,0,0,0,0,0,0,1.00,0,0,1.00
Browns,CLE,4,,MIKE,553388344,Carson Schwesinger,0,0,10724,49,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
Browns,CLE,4,,DT,553386952,Mason Graham,0,0,10564,94,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Browns,CLE,4,,WILL,553386632,Mohamoud Diabate,2,0,10892,43,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Browns,CLE,4,,FS,553387133,Ronnie Hickman,2,0,2208,33,1,4.00,0,1,0,0,0,0,0.00,0,0,4.00
Browns,CLE,4,,WILL,553388024,Jeremiah Owusu-Koramoah,4,0,1060,6,1,3.00,0,1,0,0,0,0,0.00,0,0,3.00
Browns,CLE,4,,CB,553386400,Tyson Campbell,4,0,1355,7,1,5.00,0,3,0,0,1,16,0.00,0,0,2.00
Browns,CLE,4,,FS,553386623,Grant Delpit,5,0,249,9,1,3.00,0,0,0,0,0,0,0.00,0,0,3.00
Browns,CLE,4,,SS,553388393,Isaiah Simmons,5,0,569,28,1,6.00,0,2,0,0,0,0,0.00,0,0,6.00
Browns,CLE,4,,WILL,553386369,Devin Bush,6,0,9408,30,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Browns,CLE,4,,CB,553388787,Denzel Ward,7,0,9100,21,1,7.00,0,0,0,0,0,0,0.00,0,0,7.00
Browns,CLE,4,,SAM,553386113,Jerome Baker,7,0,8811,17,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Browns,CLE,4,,REDGE,553386889,Myles Garrett,8,0,8560,95,1,14.00,0,0,1,0,0,0,3.00,0,0,5.00
Browns,CLE,4,,LEDGE,553386137,Shaquil Barrett,11,0,7656,92,1,2.00,0,0,0,0,0,0,0.00,0,0,2.00
Chargers,LAC,7,,CB,553387069,Cam Hart,1,0,10103,20,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Chargers,LAC,7,,MIKE,553386491,Junior Colson,1,0,10040,25,1,1.00,0,0,0,0,0,0,0.00,0,0,1.00
Chargers,LAC,7,,CB,553388511,Tarheeb Still,1,0,10255,29,1,3.00,0,2,0,0,0,0,0.00,0,0,3.00
Chargers,LAC,7,,WILL,553387112,Daiyan Henley,2,0,2186,0,1,6.00,0,0,0,0,0,0,1.50,0,0,3.00
Chargers,LAC,7,,DT,553388708,Kobie Turner,2,0,5178,98,1,4.00,0,0,0,0,0,0,1.50,0,0,1.00
Chargers,LAC,7,,LEDGE,553388697,Tuli Tuipulotu,2,0,2634,45,1,5.00,0,0,0,0,0,0,1.50,0,0,2.00
Chargers,LAC,7,,CB,553388516,Benjamin St-Juste,4,0,1144,24,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
Chargers,LAC,7,,FS,553387829,Elijah Molden,4,0,1341,2,1,1.00,0,1,0,0,0,0,0.00,0,0,1.00
Chargers,LAC,7,,REDGE,553388020,Odafe Oweh,4,0,1602,97,1,9.00,0,0,0,0,0,0,3.00,0,0,3.00
