id,teamId,league,notes,displayName,abbrName,cityName,conferenceName,defScheme,divName,injuryCount,logoId,nickName,offScheme,ovrRating,primaryColor,secondaryColor,userName,awayLosses,awayTies,awayWins,calendarYear,conferenceId,confLosses,confTies,confWins,capRoom,capAvailable,capSpent,defPassYds,defPassYdsRank,defRushYds,defRushYdsRank,defTotalYds,defTotalYdsRank,divisionId,divLosses,divisionName,divTies,divWins,homeLosses,homeTies,homeWins,netPts,offPassYds,offPassYdsRank,offRushYds,offRushYdsRank,offTotalYds,offTotalYdsRank,ptsAgainstRank,ptsForRank,playoffStatus,prevRank,ptsAgainst,ptsFor,rank,seed,seasonIndex,stageIndex,totalLosses,totalTies,totalWins,teamName,teamOvr,tODiff,weekIndex,winLossStreak,winPct,trade_block_comments,logo,banner,footer_banner
1513544,775553024,Premier Football Circuit Slow Sim,,49ers,SF,San Francisco,NFC,19,NFC West,0,14,Niners,0,85,11141120,11506269,,0,0,1,2025,767557632,0,0,0,279200000,50860000,228340000,648,20,240,11,888,11,770703367,0,NFC West,0,0,1,0,1,28,577,20,376,5,953,11,8,7,0,0,16,25,11,7,0,0,1,0,2,49ers,85,7,3,0,0.67,,,,
1513535,775553025,Premier Football Circuit Slow Sim,,Bears,CHI,Chicago,NFC,11,NFC North,0,0,Bears,10,82,726570,15089920,Chefmckinney92,1,0,0,2025,767557632,0,0,0,279200000,31850000,247350000,661,22,258,13,919,18,770703365,0,NFC North,0,0,0,0,2,7,325,32,318,11,643,30,6,19,0,0,15,18,15,10,0,0,1,0,2,Bears,82,4,3,0,0.67,,,,
1513518,775553026,Premier Football Circuit Slow Sim,,Bengals,CIN,Cincinnati,AFC,13,AFC North,0,1,Bengals,10,83,16469780,0,COACHCHRIS1974,1,0,1,2025,766115840,1,0,0,279200000,28940000,250260000,430,3,612,32,1042,29,770703361,0,AFC North,0,0,1,0,0,-28,429,30,188,29,617,31,20,30,0,0,22,12,28,12,0,0,2,0,1,Bengals,83,4,3,0,0.33,,,,
1513527,775553027,Premier Football Circuit Slow Sim,,Bills,BUF,Buffalo,AFC,17,AFC East,0,2,Bills,2,86,798338,13961738,mossbornhydra,2,0,0,2025,766115840,0,0,0,279200000,15790000,263410000,624,17,294,20,918,17,770703360,0,AFC East,0,0,0,1,0,-14,637,15,230,23,867,21,16,29,0,0,18,13,29,13,0,0,2,1,0,Bills,86,0,3,0,0.17,,,,
1513529,775553028,Premier Football Circuit Slow Sim,,Broncos,DEN,Denver,AFC,11,AFC West,0,3,Broncos,0,86,664387,16534530,BigDaddyLunar,1,0,1,2025,766115840,0,0,0,279200000,30310000,248890000,781,29,216,9,997,25,770703363,0,AFC West,0,0,1,0,0,-33,564,21,311,12,875,20,32,17,0,0,30,19,26,10,0,0,2,0,1,Broncos,86,-6,3,0,0.33,,,,
1513519,775553029,Premier Football Circuit Slow Sim,,Browns,CLE,Cleveland,AFC,20,AFC North,0,4,Browns,6,82,16727040,3218688,WilbuhGang420,2,0,0,2025,766115840,0,0,0,279200000,110000,279090000,535,10,405,29,940,22,770703361,0,AFC North,0,0,1,0,0,-22,661,10,279,17,940,12,25,22,0,0,24,17,30,14,0,0,3,0,0,Browns,82,-3,3,0,0.00,,,,
1513539,775553030,Premier Football Circuit Slow Sim,,Buccaneers,TB,Tampa Bay,NFC,17,NFC South,0,5,Bucs,0,86,10685741,4078133,ResinBomb,1,0,0,2025,767557632,0,0,0,279200000,35110000,244090000,600,15,188,3,788,7,770703366,0,NFC South,0,0,0,0,2,14,654,11,353,7,1007,9,4,18,0,0,13,18,13,8,0,0,1,0,2,Buccaneers,86,0,3,0,0.67,,,,
1513547,775553031,Premier Football Circuit Slow Sim,,Cardinals,ARI,Arizona,NFC,13,NFC West,0,6,Cardinals,0,82,8847399,16777215,ShadeShadow99,0,0,1,2025,767557632,0,0,0,279200000,35660000,243540000,384,1,283,16,667,1,770703367,0,NFC West,0,0,1,0,1,29,643,14,286,16,929,13,9,6,0,0,16,25,10,6,0,0,1,0,2,Cardinals,82,1,3,0,0.67,,,,
1513530,775553034,Premier Football Circuit Slow Sim,,Chargers,LAC,Los Angeles,AFC,13,AFC West,0,7,Bolts,6,81,32966,16761358,knich3,1,0,1,2025,766115840,0,0,0,279200000,30850000,248350000,739,27,291,19,1030,28,770703363,0,AFC West,0,0,1,0,0,-19,648,13,275,18,923,14,24,21,0,0,23,17,24,9,0,0,2,0,1,Chargers,81,-1,3,0,0.33,,,,
1513531,775553035,Premier Football Circuit Slow Sim,,Chiefs,KC,Kansas City,AFC,11,AFC West,0,8,Chiefs,10,86,14882871,15641886,IIdMaNII,1,0,1,2025,766115840,0,0,0,279200000,12760000,266440000,584,13,234,10,818,8,770703363,0,AFC West,0,0,0,0,1,19,552,22,310,13,862,24,10,11,0,0,16,22,12,3,0,0,1,0,2,Chiefs,86,3,3,0,0.67,,,,
1513523,775553036,Premier Football Circuit Slow Sim,,Colts,IND,Indianapolis,AFC,11,AFC South,0,9,Colts,2,85,78697,16777215,CodSnips4dayz,1,0,1,2025,766115840,1,0,1,279200000,21620000,257580000,501,7,208,6,709,5,770703362,0,AFC South,0,0,0,0,1,-2,434,29,375,6,809,26,11,27,0,0,16,15,8,5,0,0,1,0,2,Colts,85,-1,3,0,0.67,,,,
1513543,775553037,Premier Football Circuit Slow Sim,,Commanders,WAS,Washington,NFC,19,NFC East,0,25,Commanders,8,83,5903380,16758290,,0,0,1,2025,767557632,0,0,0,279200000,28900000,250300000,719,25,286,18,1005,27,770703364,0,NFC East,0,0,2,0,0,-25,685,7,216,24,901,17,26,25,0,0,24,16,25,15,0,0,2,0,1,Commanders,83,4,3,0,0.33,,,,
1513540,775553038,Premier Football Circuit Slow Sim,,Cowboys,DAL,Dallas,NFC,11,NFC East,0,10,Cowboys,0,82,798338,11581372,TeddyBrosevelt21,1,0,0,2025,767557632,1,0,1,279200000,51030000,228170000,480,5,285,17,765,6,770703364,0,NFC East,0,0,0,0,2,-2,664,8,194,28,858,25,5,28,0,0,14,14,7,5,0,0,1,0,2,Cowboys,82,-2,3,0,0.67,,,,
1513524,775553039,Premier Football Circuit Slow Sim,,Dolphins,MIA,Miami,AFC,20,AFC East,0,11,Phins,2,83,36503,16534530,VadaUK,2,0,0,2025,766115840,1,0,0,279200000,6440000,272760000,628,18,331,25,959,23,770703360,0,AFC East,0,0,1,0,0,-27,662,9,254,21,916,15,27,24,0,0,25,16,32,16,0,0,3,0,0,Dolphins,83,-4,3,0,0.00,,,,
1513541,775553040,Premier Football Circuit Slow Sim,,Eagles,PHI,Philadelphia,NFC,19,NFC East,0,12,Eagles,10,88,18513,10660525,YorFriendMarcus,0,0,1,2025,767557632,0,0,0,279200000,28030000,251170000,505,8,199,5,704,4,770703364,0,NFC East,0,0,0,0,2,34,485,25,573,1,1058,5,14,3,0,0,17,28,4,3,0,0,0,0,3,Eagles,88,3,3,0,1.00,,,,
1513536,775553041,Premier Football Circuit Slow Sim,,Falcons,ATL,Atlanta,NFC,13,NFC South,0,13,Falcons,0,82,10685741,0,,1,0,0,2025,767557632,2,0,0,279200000,5480000,273720000,661,23,260,14,921,19,770703366,0,NFC South,0,0,1,0,1,3,625,16,343,8,968,10,17,12,0,0,20,21,21,13,0,0,2,0,1,Falcons,82,0,3,0,0.33,,,,
1513542,775553043,Premier Football Circuit Slow Sim,,Giants,NYG,New York,NFC,11,NFC East,0,15,G-Men,0,80,74578,10685741,rainyDay0_0,0,1,0,2025,767557632,0,0,0,279200000,16680000,262520000,861,31,276,15,1137,30,770703364,0,NFC East,0,0,1,0,1,-6,1066,1,160,30,1226,1,30,4,0,0,28,26,16,11,0,0,1,1,1,Giants,80,-4,3,0,0.50,,,,
1513520,775553045,Premier Football Circuit Slow Sim,,Jaguars,JAX,Jacksonville,AFC,12,AFC South,0,16,Jags,0,81,25974,0,PokemonX9322,0,0,2,2025,766115840,0,0,2,279200000,29660000,249540000,497,6,175,1,672,2,770703362,0,AFC South,0,0,0,0,1,34,611,18,273,19,884,19,1,16,0,0,7,19,1,1,0,0,0,0,3,Jaguars,81,3,3,0,1.00,,,,
1513525,775553046,Premier Football Circuit Slow Sim,,Jets,NYJ,New York,AFC,19,AFC East,0,17,Jets,0,81,1136448,16777215,,1,0,1,2025,766115840,0,0,0,279200000,35380000,243820000,923,32,312,23,1235,32,770703360,0,AFC East,0,0,1,0,0,-7,715,6,299,15,1014,8,31,5,0,0,28,25,19,7,0,0,2,0,1,Jets,81,2,3,0,0.33,,,,
1513532,775553047,Premier Football Circuit Slow Sim,,Lions,DET,Detroit,NFC,14,NFC North,0,18,Lions,5,88,30390,11581372,BARTLEBEE,0,0,1,2025,767557632,0,0,1,279200000,55410000,223790000,735,26,413,30,1148,31,770703365,0,NFC North,0,0,1,0,1,-7,784,4,261,20,1045,6,28,8,0,0,27,24,6,4,0,0,1,0,2,Lions,88,1,3,0,0.67,,,,
1513533,775553049,Premier Football Circuit Slow Sim,,Packers,GB,Green Bay,NFC,13,NFC North,0,19,Pack,0,84,1846565,15641886,TonelessS2E1,1,0,0,2025,767557632,0,0,1,279200000,45980000,233220000,562,12,327,24,889,12,770703365,0,NFC North,0,0,1,0,1,-7,606,19,300,14,906,16,21,15,0,0,22,19,17,12,0,0,2,0,1,Packers,84,1,3,0,0.33,,,,
1513537,775553050,Premier Football Circuit Slow Sim,,Panthers,CAR,Carolina,NFC,11,NFC South,0,20,Panthers,10,78,34255,11711675,Keegan_Cwater,0,0,1,2025,767557632,0,0,0,279200000,49010000,230190000,541,11,340,27,881,10,770703366,0,NFC South,0,0,0,0,2,36,779,5,342,9,1121,3,12,2,0,0,16,28,3,2,0,0,0,0,3,Panthers,78,2,3,0,1.00,,,,
1513526,775553051,Premier Football Circuit Slow Sim,,Patriots,NE,New England,AFC,13,AFC East,0,21,Pats,0,83,795456,13111342,YoungAntSavage7,1,0,1,2025,766115840,0,0,0,279200000,81060000,198140000,749,28,180,2,929,21,770703360,0,AFC East,0,0,1,0,0,3,1004,2,134,32,1138,2,22,9,0,0,22,23,18,4,0,0,2,0,1,Patriots,83,-4,3,0,0.33,,,,
1513528,775553052,Premier Football Circuit Slow Sim,,Raiders,LV,Las Vegas,AFC,19,AFC West,0,22,Raiders,2,78,10923696,0,99861f57b6c570ca,2,0,0,2025,766115840,0,0,0,279200000,46010000,233190000,405,2,493,31,898,14,770703363,0,AFC West,0,0,1,0,0,-51,391,31,210,26,601,32,18,32,0,0,21,4,31,15,0,0,3,0,0,Raiders,78,-1,3,0,0.00,,,,
1513545,775553053,Premier Football Circuit Slow Sim,,Rams,LAR,Los Angeles,NFC,13,NFC West,0,23,Rams,1,84,13716,16765184,kikis12337,0,0,1,2025,767557632,0,0,1,279200000,19870000,259330000,696,24,208,7,904,16,770703367,0,NFC West,0,0,0,0,2,24,504,24,380,4,884,18,3,14,0,0,11,19,2,1,0,0,0,0,3,Rams,84,4,3,0,1.00,,,,
1513516,775553054,Premier Football Circuit Slow Sim,,Ravens,BAL,Baltimore,AFC,18,AFC North,0,24,Ravens,6,87,2364255,0,BillyMcDugal86,1,0,1,2025,766115840,0,0,1,279200000,31570000,247630000,466,4,215,8,681,3,770703361,0,AFC North,0,0,0,0,1,42,470,26,334,10,804,27,2,10,0,0,8,22,5,2,0,0,1,0,2,Ravens,87,0,3,0,0.67,,,,
1513538,775553055,Premier Football Circuit Slow Sim,,Saints,NO,New Orleans,NFC,18,NFC South,0,26,Saints,5,77,13876365,0,Th3AlphaTTV,0,0,1,2025,767557632,0,0,0,279200000,27000000,252200000,598,14,294,21,892,13,770703366,0,NFC South,0,0,2,0,0,-1,881,3,142,31,1023,7,15,23,0,0,17,16,22,14,0,0,2,0,1,Saints,77,-1,3,0,0.33,,,,
